entry_idx,entry_date,entry_price,direction,exit_idx,exit_date,exit_price,return_pct,pnl,probability,predicted_class,commission,forced_exit
252,2025-01-12,45.013000000000005,long,257,2025-01-17,46.882,4.152133828005226,2.1521338280052262,0.7649729,2,2,
253,2025-01-13,48.266000000000005,long,258,2025-01-18,46.882,-2.8674429204823424,-4.867442920482342,0.7649729,2,2,
257,2025-01-17,46.882,short,262,2025-01-22,48.721000000000004,-3.9226142229427197,-5.92261422294272,0.7799974,0,2,
258,2025-01-18,46.882,short,263,2025-01-23,49.128,-4.790751247813665,-6.790751247813665,0.8323164,0,2,
262,2025-01-22,48.711,short,267,2025-01-27,47.867000000000004,1.7326681858307036,-0.2673318141692964,0.82689756,0,2,
263,2025-01-23,49.117999999999995,short,268,2025-01-28,48.229,1.8099271142961764,-0.19007288570382364,0.8491539,0,2,
267,2025-01-27,47.857,short,270,2025-01-30,51.731,-8.094949537162803,-10.094949537162803,0.83682734,0,2,
268,2025-01-28,48.218999999999994,short,271,2025-01-31,53.242000000000004,-10.417055517534605,-12.417055517534605,0.8208405,0,2,
270,2025-01-30,51.721,short,275,2025-02-04,52.053000000000004,-0.6419056089402909,-2.641905608940291,0.7968082,0,2,
271,2025-01-31,53.232,short,276,2025-02-05,53.443000000000005,-0.3963781184250181,-2.396378118425018,0.7914596,0,2,
275,2025-02-04,52.043,short,280,2025-02-09,55.728,-7.080683281132914,-9.080683281132913,0.8027989,0,2,
276,2025-02-05,53.433,short,281,2025-02-10,58.044000000000004,-8.629498624445574,-10.629498624445574,0.73420143,0,2,
281,2025-02-10,58.034,short,284,2025-02-13,51.388000000000005,11.451907502498525,9.451907502498525,0.81316406,0,2,
280,2025-02-09,55.717999999999996,short,285,2025-02-14,50.690000000000005,9.024013783696457,7.024013783696457,0.81070083,0,2,
284,2025-02-13,51.378,short,289,2025-02-18,49.220000000000006,4.200241348437063,2.2002413484370633,0.8180088,0,2,
285,2025-02-14,50.68,short,290,2025-02-19,48.269000000000005,4.757300710339373,2.757300710339373,0.68300337,0,2,
289,2025-02-18,49.21,short,294,2025-02-23,47.2,4.084535663483027,2.0845356634830274,0.5059744,0,2,
